File,Mg_flag,Al_flag,Si_flag,P_flag,S_flag,K_flag,Ca_flag,Ti_flag,V_flag,Cr_flag,Mn_flag,Fe_flag,Co_flag,Ni_flag,Cu_flag,Zn_flag,As_flag,Rb_flag,Sr_flag,Y_flag,Zr_flag,Nb_flag,Mo_flag,Ba_flag,Pb_flag,Th_flag,U_flag
3670,[LOW][LOW-ERR],,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,[LOW][LOW-ERR],,[LOW][LOW-ERR],,[LOW][LOW-ERR],,,,,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,[LOW][LOW-ERR]
3671,[LOW][LOW-ERR],,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,[LOW][LOW-ERR],,[LOW][LOW-ERR],,[LOW][LOW-ERR],,,,,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,[LOW][LOW-ERR]
3674,[LOW][LOW-ERR],,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,[LOW][LOW-ERR],,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,,[LOW][LOW-ERR],,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,[LOW][LOW-ERR]
3675,[LOW][LOW-ERR],,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,[LOW][LOW-ERR],,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,,[LOW-ERR],,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,[LOW][LOW-ERR]
3676,[LOW][LOW-ERR],,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,[LOW][LOW-ERR],,[LOW][LOW-ERR],,[LOW][LOW-ERR],,,[LOW-ERR],,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,[LOW][LOW-ERR]
3677,[LOW][LOW-ERR],,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,,[LOW][LOW-ERR],[LOW-ERR],,,[LOW][LOW-ERR],,[LOW][LOW-ERR],,[LOW][LOW-ERR],,,,,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,[LOW][LOW-ERR]
3678,[LOW][LOW-ERR],,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,[LOW][LOW-ERR],,[LOW][LOW-ERR],,[LOW][LOW-ERR],,,,,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,[LOW][LOW-ERR]
3679,[LOW][LOW-ERR],,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,[LOW][LOW-ERR],,[LOW][LOW-ERR],,[LOW][LOW-ERR],,,[LOW][LOW-ERR],,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,[LOW][LOW-ERR]
3680,[LOW][LOW-ERR],,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,,[LOW][LOW-ERR],[LOW-ERR],,,[LOW][LOW-ERR],,[LOW][LOW-ERR],,[LOW][LOW-ERR],,,,,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,[LOW][LOW-ERR]
3681,[LOW][LOW-ERR],,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,[LOW][LOW-ERR],,[LOW][LOW-ERR],,[LOW][LOW-ERR],,,,,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,[LOW][LOW-ERR]
3682,[LOW][LOW-ERR],,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,,[LOW][LOW-ERR],[LOW-ERR],,,[LOW][LOW-ERR],,[LOW][LOW-ERR],,[LOW][LOW-ERR],,,,,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,[LOW][LOW-ERR]
3683,,,,,[LOW][LOW-ERR],,,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,[LOW][LOW-ERR],,[LOW][LOW-ERR],,[LOW][LOW-ERR],,,[LOW-ERR],,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,[LOW][LOW-ERR]
3684,,,,,[LOW][LOW-ERR],,,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,[LOW][LOW-ERR],,[LOW][LOW-ERR],,[LOW][LOW-ERR],,,[LOW-ERR],,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,[LOW][LOW-ERR]
3685,,,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,[LOW][LOW-ERR],,[LOW][LOW-ERR],,[LOW][LOW-ERR],,,[LOW][LOW-ERR],,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,[LOW][LOW-ERR]
3686,[LOW][LOW-ERR],,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,,[LOW][LOW-ERR],[LOW-ERR],,,[LOW][LOW-ERR],,[LOW][LOW-ERR],,[LOW][LOW-ERR],,,,,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,[LOW][LOW-ERR]
