Bruker AXS HMP Instrument Tools Complete CSV
FileName,C:\MeinZeugs\Uni\Publikationen\2025\MeIn pXRF\DAQ\Device_monitoring_sample_element_precision_Schauer\data_raw\Example_Precision\PDZ\03388-Mudrock Dual.pdz
SerialString,SG2-6390
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,1/1/2006 12:02:44 PM
TotalElapsedTimeInSeconds,0
AnodeTakeOffAngle,53
SampleIncidenceAngle,45
BeThicknessInMicroMeters,75
SampleTakeOffAngle,65
SpotSizeUsed,-1
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
142,2.820721,242,2.82,6624
143,2.840721,245,2.84,7054
144,2.860721,295,2.86,6964
145,2.880721,310,2.88,6573
146,2.900721,385,2.9,6914
147,2.920721,468,2.92,7755
148,2.940721,494,2.94,8640
149,2.960721,486,2.96,8575
150,2.980721,481,2.98,7628
151,3.000721,361,3,5756
152,3.020721,328,3.02,3969
153,3.040721,273,3.04,2438
154,3.060721,242,3.06,1623
155,3.080721,229,3.08,1267
156,3.100721,235,3.1,1188
157,3.120721,230,3.12,1313
158,3.140721,208,3.14,1505
159,3.160721,284,3.16,2010
160,3.180721,377,3.18,3035
161,3.200721,531,3.2,5675
162,3.220721,1009,3.22,11622
163,3.240721,1854,3.24,22339
164,3.260721,3035,3.26,37670
165,3.280721,4253,3.28,54560
166,3.300721,5075,3.3,65612
167,3.320721,4989,3.32,65391
168,3.340721,4352,3.34,56180
169,3.360721,3128,3.36,39195
170,3.380721,1911,3.38,23674
171,3.400721,1021,3.4,11950
172,3.420721,551,3.42,5529
173,3.440721,343,3.44,2757
174,3.460721,253,3.46,1803
175,3.480721,256,3.48,1979
176,3.500721,358,3.5,2753
177,3.520721,474,3.52,4397
178,3.540721,629,3.54,6571
179,3.560721,775,3.56,8657
180,3.580721,965,3.58,10739
181,3.600721,1079,3.6,11943
182,3.620721,1156,3.62,12756
183,3.640721,1290,3.64,13637
184,3.660721,1359,3.66,14265
185,3.680721,1475,3.68,14683
186,3.700721,1338,3.7,13759
187,3.720721,1154,3.72,11007
188,3.740721,834,3.74,7902
189,3.760721,542,3.76,4877
190,3.780721,364,3.78,2908
191,3.800721,198,3.8,1633
192,3.820721,155,3.82,1112
193,3.840721,139,3.84,940
194,3.860721,118,3.86,882
195,3.880721,107,3.88,946
196,3.900721,132,3.9,1074
197,3.920721,146,3.92,1271
198,3.940721,208,3.94,1585
199,3.960721,214,3.96,1977
200,3.980721,277,3.98,2318
201,4.000721,296,4,2738
202,4.020721,281,4.02,2702
203,4.040721,242,4.04,2438
204,4.060721,189,4.06,2011
205,4.080721,187,4.08,1664
206,4.100721,145,4.1,1238
207,4.120721,110,4.12,1129
208,4.140721,105,4.14,1011
209,4.160721,70,4.16,964
210,4.180721,81,4.18,962
211,4.200721,75,4.2,937
212,4.220721,83,4.22,947
213,4.240721,90,4.24,998
214,4.260721,84,4.26,962
215,4.280721,88,4.28,980
216,4.300721,90,4.3,1008
217,4.320721,103,4.32,1070
218,4.340721,120,4.34,1153
219,4.360721,127,4.36,1236
220,4.380721,176,4.38,1611
221,4.400721,252,4.4,2217
222,4.420721,473,4.42,3312
223,4.440721,669,4.44,4580
224,4.460721,913,4.46,5883
225,4.480721,1084,4.48,6850
226,4.500721,1210,4.5,7310
227,4.520721,1025,4.52,6856
228,4.540721,862,4.54,5787
229,4.560721,700,4.56,4553
230,4.580721,533,4.58,3270
231,4.600721,377,4.6,2594
232,4.620721,334,4.62,1933
233,4.640721,294,4.64,1818
234,4.660721,288,4.66,1703
235,4.680721,250,4.68,1544
236,4.700721,211,4.7,1514
237,4.720721,175,4.72,1484
238,4.740721,157,4.74,1525
239,4.760721,197,4.76,1767
240,4.780721,176,4.78,1852
241,4.800721,236,4.8,2123
242,4.820721,280,4.82,2207
243,4.840721,321,4.84,2328
244,4.860721,336,4.86,2510
245,4.880721,357,4.88,2575
246,4.900721,325,4.9,2585
247,4.920721,319,4.92,2632
248,4.940721,308,4.94,2574
249,4.960721,258,4.96,2500
250,4.980721,237,4.98,2331
251,5.000721,160,5,2056
252,5.020721,121,5.02,2072
253,5.040721,115,5.04,1934
254,5.060721,101,5.06,1936
255,5.080721,105,5.08,1929
256,5.100721,96,5.1,1947
257,5.120721,108,5.12,1890
258,5.140721,125,5.14,1967
259,5.160721,124,5.16,1957
260,5.180721,107,5.18,1942
261,5.200721,136,5.2,1968
262,5.220721,136,5.22,1931
263,5.240721,141,5.24,1911
264,5.260721,113,5.26,1875
265,5.280721,138,5.28,1873
266,5.300721,125,5.3,1895
267,5.320721,130,5.32,1882
268,5.340721,105,5.34,1970
269,5.360721,142,5.36,2009
270,5.380721,161,5.38,2144
271,5.400721,175,5.4,2158
272,5.420721,165,5.42,2227
273,5.440721,154,5.44,2138
274,5.460721,140,5.46,2102
275,5.480721,104,5.48,2106
276,5.500721,118,5.5,2011
277,5.520721,131,5.52,1966
278,5.540721,98,5.54,2075
279,5.560721,101,5.56,2039
280,5.580721,68,5.58,1967
281,5.600721,98,5.6,1887
282,5.620721,79,5.62,1952
283,5.640721,80,5.64,1952
284,5.660721,78,5.66,1944
285,5.680721,81,5.68,1921
286,5.700721,90,5.7,2000
287,5.720721,126,5.72,2141
288,5.740721,173,5.74,2091
289,5.760721,278,5.76,2399
290,5.780721,409,5.78,2865
291,5.800721,694,5.8,3450
292,5.820721,1005,5.82,4476
293,5.840721,1427,5.84,5551
294,5.860721,1822,5.86,6504
295,5.880721,1953,5.88,7116
296,5.900721,1930,5.9,7039
297,5.920721,1752,5.92,6524
298,5.940721,1439,5.94,5634
299,5.960721,1045,5.96,4482
300,5.980721,708,5.98,3570
301,6.000721,407,6,2999
302,6.020721,263,6.02,2469
303,6.040721,185,6.04,2282
304,6.060721,161,6.06,2079
305,6.080721,139,6.08,2072
306,6.100721,155,6.1,2095
307,6.120721,127,6.12,2061
308,6.140721,178,6.14,2154
309,6.160721,225,6.16,2116
310,6.180721,300,6.18,2219
311,6.200721,490,6.2,2648
312,6.220721,957,6.22,3572
313,6.240721,2003,6.24,5499
314,6.260721,4222,6.26,9201
315,6.280721,8120,6.28,16481
316,6.300721,14012,6.3,27770
317,6.320721,22448,6.32,43685
318,6.340721,32075,6.34,62130
