Bruker AXS HMP Instrument Tools Complete CSV
FileName,C:\MeinZeugs\Uni\Publikationen\2025\MeIn pXRF\DAQ\Device_monitoring_sample_element_precision_Schauer\data_raw\Example_Precision\PDZ\03388-Mudrock Dual.pdz
SerialString,SG2-6390
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,1/1/2006 12:02:44 PM
TotalElapsedTimeInSeconds,0
AnodeTakeOffAngle,53
SampleIncidenceAngle,45
BeThicknessInMicroMeters,75
SampleTakeOffAngle,65
SpotSizeUsed,-1
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
736,14.70072,2323,14.7,50
737,14.72072,2493,14.72,49
738,14.74072,2641,14.74,61
739,14.76072,2625,14.76,38
740,14.78072,2628,14.78,49
741,14.80072,2712,14.8,43
742,14.82072,2809,14.82,35
743,14.84072,2755,14.84,41
744,14.86072,2870,14.86,43
745,14.88072,2874,14.88,31
746,14.90072,2948,14.9,26
747,14.92072,3070,14.92,20
748,14.94072,2956,14.94,22
749,14.96072,2818,14.96,29
750,14.98072,2763,14.98,25
751,15.00072,2557,15,28
752,15.02072,2439,15.02,26
753,15.04072,2372,15.04,21
754,15.06072,2283,15.06,18
755,15.08072,2114,15.08,22
756,15.10072,2125,15.1,19
757,15.12072,2052,15.12,21
758,15.14072,2044,15.14,18
759,15.16072,2041,15.16,25
760,15.18072,1866,15.18,17
761,15.20072,1927,15.2,8
762,15.22072,1861,15.22,13
763,15.24072,1889,15.24,18
764,15.26072,1888,15.26,17
765,15.28072,1712,15.28,14
766,15.30072,1775,15.3,13
767,15.32072,1650,15.32,15
768,15.34072,1765,15.34,17
769,15.36072,1693,15.36,11
770,15.38072,1693,15.38,16
771,15.40072,1726,15.4,19
772,15.42072,1714,15.42,13
773,15.44072,1726,15.44,6
774,15.46072,1820,15.46,21
775,15.48072,1879,15.48,12
776,15.50072,2004,15.5,17
777,15.52072,2256,15.52,18
778,15.54072,2483,15.54,20
779,15.56072,2957,15.56,12
780,15.58072,3550,15.58,17
781,15.60072,3975,15.6,18
782,15.62072,4693,15.62,9
783,15.64072,5468,15.64,10
784,15.66072,6049,15.66,12
785,15.68072,6762,15.68,9
786,15.70072,7249,15.7,14
787,15.72072,7583,15.72,20
788,15.74072,7828,15.74,12
789,15.76072,7618,15.76,14
790,15.78072,7149,15.78,10
791,15.80072,6721,15.8,15
792,15.82072,5952,15.82,10
793,15.84072,5166,15.84,13
794,15.86072,4512,15.86,13
795,15.88072,3722,15.88,10
796,15.90072,3196,15.9,13
797,15.92072,2756,15.92,13
798,15.94072,2397,15.94,6
799,15.96072,2225,15.96,17
800,15.98072,2035,15.98,18
801,16.00072,1905,16,10
802,16.02072,1876,16.02,16
803,16.04072,1871,16.04,11
804,16.06072,1748,16.06,12
805,16.08072,1733,16.08,15
806,16.10072,1849,16.1,9
807,16.12072,1844,16.12,14
808,16.14072,1902,16.14,13
809,16.16072,1836,16.16,11
810,16.18072,1861,16.18,9
811,16.20072,1800,16.2,13
812,16.22072,1788,16.22,6
813,16.24072,1730,16.24,7
814,16.26072,1817,16.26,10
815,16.28072,1769,16.28,12
816,16.30072,1740,16.3,10
817,16.32072,1837,16.32,15
818,16.34072,1791,16.34,12
819,16.36072,1761,16.36,9
820,16.38072,1827,16.38,14
821,16.40072,1908,16.4,20
822,16.42072,1932,16.42,7
823,16.44072,2009,16.44,11
824,16.46072,2014,16.46,9
825,16.48072,2129,16.48,13
826,16.50072,2129,16.5,13
827,16.52072,2324,16.52,16
828,16.54072,2319,16.54,13
829,16.56072,2297,16.56,10
830,16.58072,2365,16.58,10
831,16.60072,2232,16.6,13
832,16.62072,2173,16.62,13
833,16.64072,2255,16.64,17
834,16.66072,2152,16.66,7
835,16.68072,2137,16.68,11
836,16.70072,2095,16.7,8
837,16.72072,1989,16.72,12
838,16.74072,1988,16.74,12
839,16.76072,1974,16.76,9
840,16.78072,1996,16.78,9
841,16.80072,1835,16.8,7
842,16.82072,1876,16.82,7
843,16.84072,1914,16.84,9
844,16.86072,1831,16.86,15
845,16.88072,1973,16.88,13
846,16.90072,1842,16.9,11
847,16.92072,1850,16.92,14
848,16.94072,1921,16.94,9
849,16.96072,1864,16.96,12
850,16.98072,1839,16.98,14
851,17.00072,1870,17,12
852,17.02072,1837,17.02,7
853,17.04072,1915,17.04,14
854,17.06072,1861,17.06,14
855,17.08072,1960,17.08,16
856,17.10072,1794,17.1,9
857,17.12072,1934,17.12,7
858,17.14072,1970,17.14,9
859,17.16072,1905,17.16,8
860,17.18072,1925,17.18,9
861,17.20072,1907,17.2,6
862,17.22072,1956,17.22,7
863,17.24072,2018,17.24,8
864,17.26072,1967,17.26,5
865,17.28072,1967,17.28,12
866,17.30072,2022,17.3,8
867,17.32072,2086,17.32,6
868,17.34072,2163,17.34,6
869,17.36072,2161,17.36,9
870,17.38072,2235,17.38,7
871,17.40072,2314,17.4,5
872,17.42072,2274,17.42,7
873,17.44072,2411,17.44,10
874,17.46072,2316,17.46,9
875,17.48072,2371,17.48,9
876,17.50072,2538,17.5,7
877,17.52072,2509,17.52,12
878,17.54072,2686,17.54,11
879,17.56072,2798,17.56,8
880,17.58072,2808,17.58,6
881,17.60072,2893,17.6,4
882,17.62072,2950,17.62,6
883,17.64072,2970,17.64,7
884,17.66072,2983,17.66,8
885,17.68072,2955,17.68,7
886,17.70072,2832,17.7,10
887,17.72072,2719,17.72,13
888,17.74072,2600,17.74,6
889,17.76072,2538,17.76,8
890,17.78072,2453,17.78,10
891,17.80072,2378,17.8,4
892,17.82072,2281,17.82,8
893,17.84072,2369,17.84,6
894,17.86072,2418,17.86,10
895,17.88072,2282,17.88,8
896,17.90072,2377,17.9,10
897,17.92072,2416,17.92,3
898,17.94072,2372,17.94,12
899,17.96072,2382,17.96,4
900,17.98072,2479,17.98,8
901,18.00072,2423,18,5
902,18.02072,2436,18.02,5
903,18.04072,2391,18.04,6
904,18.06072,2388,18.06,6
905,18.08072,2388,18.08,5
906,18.10072,2354,18.1,7
907,18.12072,2429,18.12,3
908,18.14072,2547,18.14,8
909,18.16072,2477,18.16,11
910,18.18072,2454,18.18,5
911,18.20072,2518,18.2,9
912,18.22072,2578,18.22,9
913,18.24072,2647,18.24,6
914,18.26072,2731,18.26,7
915,18.28072,2743,18.28,6
916,18.30072,2770,18.3,6
917,18.32072,2756,18.32,9
918,18.34072,2794,18.34,8
919,18.36072,2889,18.36,4
920,18.38072,2942,18.38,4
921,18.40072,2996,18.4,8
922,18.42072,3163,18.42,7
923,18.44072,3141,18.44,6
924,18.46072,3337,18.46,4
925,18.48072,3421,18.48,4
926,18.50072,3395,18.5,4
927,18.52072,3678,18.52,12
928,18.54072,3780,18.54,5
929,18.56072,3868,18.56,13
930,18.58072,4100,18.58,4
931,18.60072,4249,18.6,6
932,18.62072,4313,18.62,6
933,18.64072,4493,18.64,4
934,18.66072,4624,18.66,8
935,18.68072,4950,18.68,4
936,18.70072,5131,18.7,12
937,18.72072,5263,18.72,5
938,18.74072,5477,18.74,4
939,18.76072,5676,18.76,2
940,18.78072,6026,18.78,6
941,18.80072,6177,18.8,5
942,18.82072,6411,18.82,5
943,18.84072,6587,18.84,6
944,18.86072,6858,18.86,3
945,18.88072,7071,18.88,9
946,18.90072,7155,18.9,4
947,18.92072,7463,18.92,6
948,18.94072,7429,18.94,7
949,18.96072,7805,18.96,4
950,18.98072,7708,18.98,4
951,19.00072,7810,19,4
952,19.02072,7771,19.02,5
953,19.04072,7871,19.04,2
954,19.06072,7896,19.06,6
955,19.08072,7702,19.08,8
956,19.10072,7673,19.1,4
957,19.12072,7630,19.12,6
958,19.14072,7416,19.14,5
959,19.16072,7188,19.16,4
960,19.18072,7137,19.18,6
961,19.20072,6787,19.2,8
962,19.22072,6904,19.22,6
963,19.24072,6668,19.24,4
964,19.26072,6409,19.26,4
965,19.28072,6034,19.28,3
966,19.30072,5941,19.3,3
967,19.32072,5618,19.32,7
968,19.34072,5336,19.34,4
969,19.36072,5144,19.36,2
970,19.38072,4907,19.38,4
971,19.40072,4791,19.4,2
972,19.42072,4502,19.42,3
973,19.44072,4393,19.44,4
974,19.46072,4286,19.46,2
975,19.48072,4005,19.48,8
976,19.50072,3871,19.5,3
977,19.52072,3760,19.52,2
978,19.54072,3559,19.54,3
979,19.56072,3492,19.56,2
980,19.58072,3298,19.58,3
981,19.60072,3250,19.6,5
982,19.62072,3125,19.62,6
983,19.64072,3036,19.64,6
984,19.66072,2908,19.66,8
985,19.68072,2859,19.68,3
986,19.70072,2725,19.7,2
987,19.72072,2591,19.72,3
988,19.74072,2737,19.74,3
989,19.76072,2617,19.76,5
990,19.78072,2520,19.78,2
991,19.80072,2504,19.8,3
992,19.82072,2506,19.82,1
993,19.84072,2534,19.84,4
994,19.86072,2674,19.86,5
995,19.88072,2684,19.88,3
996,19.90072,2851,19.9,5
997,19.92072,3032,19.92,4
998,19.94072,3268,19.94,0
999,19.96072,3714,19.96,2
1000,19.98072,3979,19.98,2
1001,20.00072,4336,20,4
1002,20.02072,4743,20.02,3
1003,20.04072,4928,20.04,3
1004,20.06072,5433,20.06,5
1005,20.08072,5863,20.08,4
1006,20.10072,5852,20.1,2
1007,20.12072,6066,20.12,3
1008,20.14072,6220,20.14,2
1009,20.16072,6282,20.16,2
1010,20.18072,6258,20.18,2
1011,20.20072,5983,20.2,1
1012,20.22072,5691,20.22,3
1013,20.24072,5367,20.24,3
1014,20.26072,4907,20.26,2
1015,20.28072,4291,20.28,2
1016,20.30072,3920,20.3,5
1017,20.32072,3518,20.32,0
1018,20.34072,2980,20.34,3
1019,20.36072,2794,20.36,0
1020,20.38072,2435,20.38,2
1021,20.40072,2289,20.4,2
1022,20.42072,2190,20.42,5
1023,20.44072,2029,20.44,2
1024,20.46072,2054,20.46,1
1025,20.48072,2005,20.48,6
1026,20.50072,2094,20.5,2
1027,20.52072,2002,20.52,1
1028,20.54072,1878,20.54,2
1029,20.56072,1911,20.56,1
1030,20.58072,2012,20.58,1
1031,20.60072,1997,20.6,5
1032,20.62072,2034,20.62,1
1033,20.64072,1987,20.64,0
1034,20.66072,2011,20.66,1
1035,20.68072,1984,20.68,1
1036,20.70072,2090,20.7,4
1037,20.72072,2091,20.72,3
1038,20.74072,2105,20.74,2
1039,20.76072,2061,20.76,1
1040,20.78072,2114,20.78,2
1041,20.80072,2177,20.8,3
1042,20.82072,2264,20.82,2
1043,20.84072,2202,20.84,2
1044,20.86072,2231,20.86,1
1045,20.88072,2242,20.88,1
1046,20.90072,2333,20.9,1
1047,20.92072,2414,20.92,1
1048,20.94072,2354,20.94,1
1049,20.96072,2361,20.96,2
1050,20.98072,2290,20.98,2
1051,21.00072,2506,21,1
1052,21.02072,2493,21.02,2
1053,21.04072,2562,21.04,2
1054,21.06072,2554,21.06,2
1055,21.08072,2534,21.08,1
1056,21.10072,2715,21.1,2
1057,21.12072,2693,21.12,4
1058,21.14072,2654,21.14,2
1059,21.16072,2693,21.16,3
1060,21.18072,2637,21.18,2
1061,21.20072,2745,21.2,0
1062,21.22072,2739,21.22,1
1063,21.24072,2806,21.24,0
1064,21.26072,2790,21.26,2
1065,21.28072,2716,21.28,4
1066,21.30072,2767,21.3,1
1067,21.32072,2870,21.32,1
1068,21.34072,2799,21.34,2
1069,21.36072,2745,21.36,0
1070,21.38072,2767,21.38,0
1071,21.40072,2832,21.4,2
1072,21.42072,2729,21.42,0
1073,21.44072,2773,21.44,1
1074,21.46072,2763,21.46,0
1075,21.48072,2692,21.48,1
1076,21.50072,2590,21.5,3
1077,21.52072,2581,21.52,0
1078,21.54072,2570,21.54,2
1079,21.56072,2538,21.56,0
1080,21.58072,2456,21.58,0
1081,21.60072,2448,21.6,0
1082,21.62072,2445,21.62,0
1083,21.64072,2344,21.64,0
1084,21.66072,2382,21.66,3
1085,21.68072,2339,21.68,0
1086,21.70072,2239,21.7,0
1087,21.72072,2285,21.72,1
1088,21.74072,2255,21.74,0
1089,21.76072,2159,21.76,0
1090,21.78072,2144,21.78,2
1091,21.80072,2156,21.8,3
1092,21.82072,2051,21.82,2
1093,21.84072,2096,21.84,1
1094,21.86072,2086,21.86,1
1095,21.88072,1964,21.88,0
1096,21.90072,1999,21.9,1
1097,21.92072,1975,21.92,0
1098,21.94072,2019,21.94,2
1099,21.96072,1983,21.96,0
1100,21.98072,1955,21.98,0
1101,22.00072,1869,22,1
1102,22.02072,1826,22.02,1
1103,22.04072,1857,22.04,0
1104,22.06072,1840,22.06,3
1105,22.08072,1862,22.08,1
1106,22.10072,1822,22.1,2
1107,22.12072,1822,22.12,1
1108,22.14072,1794,22.14,0
1109,22.16072,1829,22.16,0
1110,22.18072,1809,22.18,1
1111,22.20072,1748,22.2,0
1112,22.22072,1769,22.22,2
1113,22.24072,1791,22.24,0
1114,22.26072,1664,22.26,0
1115,22.28072,1710,22.28,1
1116,22.30072,1628,22.3,1
1117,22.32072,1581,22.32,1
1118,22.34072,1654,22.34,1
1119,22.36072,1616,22.36,0
1120,22.38072,1642,22.38,2
1121,22.40072,1608,22.4,2
1122,22.42072,1552,22.42,1
1123,22.44072,1503,22.44,0
1124,22.46072,1601,22.46,0
1125,22.48072,1678,22.48,1
1126,22.50072,1711,22.5,1
1127,22.52072,1702,22.52,2
1128,22.54072,1768,22.54,1
1129,22.56072,1825,22.56,1
1130,22.58072,2043,22.58,0
1131,22.60072,2016,22.6,0
1132,22.62072,2086,22.62,0
1133,22.64072,2120,22.64,2
1134,22.66072,2180,22.66,0
1135,22.68072,2162,22.68,1
1136,22.70072,2327,22.7,0
1137,22.72072,2133,22.72,0
1138,22.74072,2147,22.74,0
1139,22.76072,2097,22.76,2
1140,22.78072,1990,22.78,0
1141,22.80072,1900,22.8,0
1142,22.82072,1827,22.82,2
1143,22.84072,1730,22.84,0
1144,22.86072,1670,22.86,1
1145,22.88072,1592,22.88,1
1146,22.90072,1606,22.9,0
1147,22.92072,1603,22.92,0
1148,22.94072,1514,22.94,0
1149,22.96072,1517,22.96,1
1150,22.98072,1494,22.98,0
1151,23.00072,1515,23,1
1152,23.02072,1519,23.02,2
1153,23.04072,1532,23.04,1
1154,23.06072,1591,23.06,0
1155,23.08072,1577,23.08,0
1156,23.10072,1610,23.1,1
1157,23.12072,1548,23.12,2
1158,23.14072,1613,23.14,0
1159,23.16072,1543,23.16,1
1160,23.18072,1584,23.18,1
1161,23.20072,1528,23.2,2
1162,23.22072,1551,23.22,0
1163,23.24072,1536,23.24,1
1164,23.26072,1530,23.26,1
1165,23.28072,1513,23.28,0
1166,23.30072,1451,23.3,0
1167,23.32072,1397,23.32,1
1168,23.34072,1374,23.34,1
1169,23.36072,1414,23.36,1
1170,23.38072,1440,23.38,1
1171,23.40072,1342,23.4,0
1172,23.42072,1385,23.42,0
1173,23.44072,1399,23.44,1
1174,23.46072,1398,23.46,1
1175,23.48072,1395,23.48,0
1176,23.50072,1366,23.5,0
1177,23.52072,1342,23.52,0
1178,23.54072,1426,23.54,1
1179,23.56072,1361,23.56,0
1180,23.58072,1387,23.58,0
1181,23.60072,1377,23.6,0
1182,23.62072,1364,23.62,1
1183,23.64072,1422,23.64,0
1184,23.66072,1331,23.66,1
1185,23.68072,1348,23.68,0
1186,23.70072,1384,23.7,0
1187,23.72072,1320,23.72,1
1188,23.74072,1349,23.74,0
1189,23.76072,1300,23.76,1
1190,23.78072,1385,23.78,0
1191,23.80072,1302,23.8,0
1192,23.82072,1340,23.82,1
1193,23.84072,1337,23.84,0
1194,23.86072,1358,23.86,1
1195,23.88072,1312,23.88,1
1196,23.90072,1322,23.9,2
1197,23.92072,1302,23.92,0
1198,23.94072,1334,23.94,0
1199,23.96072,1305,23.96,0
1200,23.98072,1323,23.98,0
1201,24.00072,1352,24,0
1202,24.02072,1348,24.02,0
1203,24.04072,1338,24.04,1
1204,24.06072,1334,24.06,0
1205,24.08072,1305,24.08,0
1206,24.10072,1324,24.1,0
1207,24.12072,1318,24.12,0
1208,24.14072,1301,24.14,0
1209,24.16072,1384,24.16,0
1210,24.18072,1276,24.18,1
1211,24.20072,1282,24.2,0
1212,24.22072,1311,24.22,1
1213,24.24072,1328,24.24,0
1214,24.26072,1368,24.26,0
1215,24.28072,1275,24.28,0
1216,24.30072,1256,24.3,1
1217,24.32072,1347,24.32,1
1218,24.34072,1321,24.34,0
1219,24.36072,1307,24.36,0
1220,24.38072,1360,24.38,0
1221,24.40072,1287,24.4,1
1222,24.42072,1333,24.42,1
1223,24.44072,1329,24.44,0
1224,24.46072,1214,24.46,0
1225,24.48072,1268,24.48,1
1226,24.50072,1313,24.5,0
1227,24.52072,1306,24.52,0
1228,24.54072,1251,24.54,1
1229,24.56072,1340,24.56,2
1230,24.58072,1296,24.58,0
1231,24.60072,1333,24.6,0
1232,24.62072,1342,24.62,0
1233,24.64072,1315,24.64,0
1234,24.66072,1360,24.66,0
1235,24.68072,1322,24.68,1
1236,24.70072,1244,24.7,0
1237,24.72072,1238,24.72,1
1238,24.74072,1223,24.74,0
1239,24.76072,1270,24.76,0
1240,24.78072,1249,24.78,1
1241,24.80072,1267,24.8,0
1242,24.82072,1240,24.82,1
1243,24.84072,1285,24.84,0
1244,24.86072,1263,24.86,0
1245,24.88072,1254,24.88,0
1246,24.90072,1307,24.9,1
1247,24.92072,1328,24.92,1
1248,24.94072,1283,24.94,0
1249,24.96072,1273,24.96,0
1250,24.98072,1330,24.98,0
1251,25.00072,1293,25,0
1252,25.02072,1244,25.02,0
1253,25.04072,1311,25.04,0
1254,25.06072,1239,25.06,0
1255,25.08072,1240,25.08,1
1256,25.10072,1289,25.1,1
1257,25.12072,1215,25.12,1
1258,25.14072,1263,25.14,1
1259,25.16072,1267,25.16,0
1260,25.18072,1287,25.18,1
1261,25.20072,1341,25.2,0
1262,25.22072,1296,25.22,0
1263,25.24072,1338,25.24,0
1264,25.26072,1277,25.26,0
1265,25.28072,1243,25.28,0
1266,25.30072,1260,25.3,0
1267,25.32072,1219,25.32,0
1268,25.34072,1291,25.34,1
1269,25.36072,1203,25.36,0
1270,25.38072,1228,25.38,0
1271,25.40072,1200,25.4,0
1272,25.42072,1215,25.42,0
1273,25.44072,1210,25.44,0
1274,25.46072,1244,25.46,0
1275,25.48072,1205,25.48,1
1276,25.50072,1205,25.5,0
1277,25.52072,1168,25.52,0
1278,25.54072,1187,25.54,0
1279,25.56072,1179,25.56,0
1280,25.58072,1189,25.58,0
1281,25.60072,1111,25.6,0
1282,25.62072,1106,25.62,0
1283,25.64072,1193,25.64,0
1284,25.66072,1202,25.66,0
1285,25.68072,1160,25.68,0
1286,25.70072,1145,25.7,0
1287,25.72072,1163,25.72,1
1288,25.74072,1152,25.74,0
1289,25.76072,1126,25.76,0
1290,25.78072,1172,25.78,0
1291,25.80072,1173,25.8,0
1292,25.82072,1150,25.82,0
1293,25.84072,1149,25.84,0
1294,25.86072,1182,25.86,0
1295,25.88072,1134,25.88,0
1296,25.90072,1217,25.9,0
1297,25.92072,1186,25.92,0
1298,25.94072,1146,25.94,0
1299,25.96072,1217,25.96,0
1300,25.98072,1150,25.98,0
1301,26.00072,1203,26,1
1302,26.02072,1189,26.02,0
1303,26.04072,1213,26.04,0
1304,26.06072,1197,26.06,0
1305,26.08072,1252,26.08,0
1306,26.10072,1231,26.1,0
1307,26.12072,1212,26.12,0
1308,26.14072,1211,26.14,0
1309,26.16072,1207,26.16,0
1310,26.18072,1156,26.18,0
1311,26.20072,1218,26.2,1
1312,26.22072,1275,26.22,0
1313,26.24072,1145,26.24,0
1314,26.26072,1193,26.26,0
1315,26.28072,1215,26.28,0
1316,26.30072,1211,26.3,0
1317,26.32072,1235,26.32,0
1318,26.34072,1228,26.34,0
1319,26.36072,1213,26.36,0
1320,26.38072,1262,26.38,1
1321,26.40072,1207,26.4,0
1322,26.42072,1206,26.42,0
1323,26.44072,1163,26.44,0
1324,26.46072,1124,26.46,0
1325,26.48072,1133,26.48,0
1326,26.50072,1114,26.5,0
1327,26.52072,1047,26.52,1
1328,26.54072,1143,26.54,0
1329,26.56072,1048,26.56,0
1330,26.58072,1089,26.58,0
1331,26.60072,1074,26.6,0
1332,26.62072,1058,26.62,0
1333,26.64072,1030,26.64,0
1334,26.66072,1015,26.66,0
1335,26.68072,1012,26.68,0
1336,26.70072,1088,26.7,0
1337,26.72072,1089,26.72,0
1338,26.74072,1086,26.74,0
1339,26.76072,1045,26.76,0
1340,26.78072,1046,26.78,0
1341,26.80072,1041,26.8,0
1342,26.82072,1004,26.82,0
1343,26.84072,997,26.84,0
1344,26.86072,995,26.86,0
1345,26.88072,1014,26.88,0
1346,26.90072,1036,26.9,0
1347,26.92072,1042,26.92,0
1348,26.94072,1022,26.94,0
1349,26.96072,973,26.96,0
1350,26.98072,1024,26.98,0
1351,27.00072,982,27,0
1352,27.02072,989,27.02,0
1353,27.04072,954,27.04,1
1354,27.06072,978,27.06,0
1355,27.08072,994,27.08,0
1356,27.10072,1029,27.1,0
1357,27.12072,983,27.12,0
1358,27.14072,1032,27.14,0
1359,27.16072,985,27.16,0
1360,27.18072,961,27.18,0
1361,27.20072,992,27.2,0
1362,27.22072,977,27.22,0
1363,27.24072,988,27.24,1
1364,27.26072,986,27.26,0
1365,27.28072,951,27.28,0
1366,27.30072,1040,27.3,0
1367,27.32072,969,27.32,0
1368,27.34072,954,27.34,0
1369,27.36072,972,27.36,0
1370,27.38072,966,27.38,0
1371,27.40072,951,27.4,0
1372,27.42072,958,27.42,0
1373,27.44072,1001,27.44,0
1374,27.46072,940,27.46,0
1375,27.48072,949,27.48,0
1376,27.50072,931,27.5,0
1377,27.52072,895,27.52,0
1378,27.54072,937,27.54,0
1379,27.56072,952,27.56,0
1380,27.58072,950,27.58,0
1381,27.60072,919,27.6,0
1382,27.62072,958,27.62,0
1383,27.64072,953,27.64,0
1384,27.66072,902,27.66,0
1385,27.68072,873,27.68,0
1386,27.70072,932,27.7,0
1387,27.72072,893,27.72,0
1388,27.74072,879,27.74,0
1389,27.76072,896,27.76,0
1390,27.78072,920,27.78,0
1391,27.80072,862,27.8,0
1392,27.82072,869,27.82,0
1393,27.84072,921,27.84,0
1394,27.86072,961,27.86,0
1395,27.88072,887,27.88,0
1396,27.90072,899,27.9,1
1397,27.92072,973,27.92,0
1398,27.94072,850,27.94,0
1399,27.96072,899,27.96,0
1400,27.98072,867,27.98,0
1401,28.00072,892,28,0
1402,28.02072,847,28.02,0
1403,28.04072,874,28.04,0
1404,28.06072,847,28.06,0
1405,28.08072,892,28.08,0
1406,28.10072,862,28.1,0
1407,28.12072,868,28.12,0
1408,28.14072,872,28.14,0
1409,28.16072,875,28.16,0
1410,28.18072,927,28.18,0
1411,28.20072,867,28.2,0
1412,28.22072,852,28.22,0
1413,28.24072,822,28.24,0
1414,28.26072,891,28.26,0
1415,28.28072,898,28.28,0
1416,28.30072,872,28.3,0
1417,28.32072,832,28.32,0
1418,28.34072,812,28.34,0
1419,28.36072,880,28.36,0
1420,28.38072,885,28.38,0
1421,28.40072,869,28.4,0
1422,28.42072,895,28.42,0
1423,28.44072,872,28.44,0
1424,28.46072,836,28.46,0
1425,28.48072,880,28.48,0
1426,28.50072,811,28.5,0
1427,28.52072,836,28.52,0
1428,28.54072,804,28.54,0
1429,28.56072,818,28.56,0
1430,28.58072,843,28.58,0
1431,28.60072,863,28.6,0
1432,28.62072,802,28.62,0
1433,28.64072,828,28.64,0
1434,28.66072,812,28.66,0
1435,28.68072,792,28.68,0
1436,28.70072,811,28.7,0
1437,28.72072,803,28.72,0
1438,28.74072,834,28.74,0
1439,28.76072,816,28.76,0
1440,28.78072,754,28.78,0
1441,28.80072,813,28.8,0
1442,28.82072,757,28.82,0
1443,28.84072,826,28.84,0
1444,28.86072,743,28.86,0
1445,28.88072,787,28.88,0
1446,28.90072,745,28.9,0
1447,28.92072,782,28.92,0
1448,28.94072,862,28.94,0
1449,28.96072,807,28.96,0
1450,28.98072,813,28.98,0
1451,29.00072,774,29,0
1452,29.02072,794,29.02,0
1453,29.04072,776,29.04,0
1454,29.06072,746,29.06,0
1455,29.08072,731,29.08,0
1456,29.10072,791,29.1,0
1457,29.12072,764,29.12,0
1458,29.14072,801,29.14,0
1459,29.16072,795,29.16,0
1460,29.18072,765,29.18,0
1461,29.20072,774,29.2,0
1462,29.22072,712,29.22,0
1463,29.24072,754,29.24,0
1464,29.26072,744,29.26,0
1465,29.28072,731,29.28,0
1466,29.30072,743,29.3,0
1467,29.32072,787,29.32,0
1468,29.34072,775,29.34,0
1469,29.36072,748,29.36,0
1470,29.38072,727,29.38,0
1471,29.40072,700,29.4,0
1472,29.42072,732,29.42,0
1473,29.44072,702,29.44,0
1474,29.46072,696,29.46,0
1475,29.48072,733,29.48,0
1476,29.50072,744,29.5,0
1477,29.52072,707,29.52,0
1478,29.54072,740,29.54,0
1479,29.56072,731,29.56,0
1480,29.58072,776,29.58,0
1481,29.60072,732,29.6,0
1482,29.62072,689,29.62,0
1483,29.64072,776,29.64,0
1484,29.66072,674,29.66,0
1485,29.68072,769,29.68,0
1486,29.70072,772,29.7,0
1487,29.72072,727,29.72,0
1488,29.74072,702,29.74,1
1489,29.76072,721,29.76,0
1490,29.78072,661,29.78,0
1491,29.80072,696,29.8,0
1492,29.82072,695,29.82,0
1493,29.84072,720,29.84,0
1494,29.86072,677,29.86,0
1495,29.88072,699,29.88,0
1496,29.90072,662,29.9,0
1497,29.92072,697,29.92,0
1498,29.94072,689,29.94,0
1499,29.96072,665,29.96,0
1500,29.98072,661,29.98,0
1501,30.00072,689,30,0
1502,30.02072,628,30.02,0
1503,30.04072,673,30.04,0
1504,30.06072,616,30.06,0
1505,30.08072,666,30.08,0
1506,30.10072,691,30.1,0
1507,30.12072,639,30.12,0
1508,30.14072,659,30.14,0
1509,30.16072,673,30.16,0
1510,30.18072,665,30.18,0
1511,30.20072,667,30.2,0
1512,30.22072,642,30.22,0
1513,30.24072,668,30.24,0
1514,30.26072,636,30.26,0
1515,30.28072,613,30.28,0
1516,30.30072,606,30.3,0
1517,30.32072,645,30.32,0
1518,30.34072,624,30.34,0
1519,30.36072,660,30.36,0
1520,30.38072,643,30.38,0
1521,30.40072,637,30.4,0
1522,30.42072,550,30.42,0
1523,30.44072,582,30.44,0
1524,30.46072,593,30.46,0
1525,30.48072,617,30.48,0
1526,30.50072,628,30.5,0
1527,30.52072,577,30.52,0
1528,30.54072,609,30.54,0
1529,30.56072,614,30.56,0
1530,30.58072,638,30.58,0
1531,30.60072,638,30.6,0
1532,30.62072,582,30.62,0
1533,30.64072,507,30.64,0
1534,30.66072,613,30.66,0
1535,30.68072,595,30.68,0
1536,30.70072,565,30.7,0
1537,30.72072,603,30.72,0
1538,30.74072,565,30.74,0
1539,30.76072,579,30.76,0
1540,30.78072,542,30.78,0
1541,30.80072,583,30.8,0
1542,30.82072,556,30.82,0
1543,30.84072,570,30.84,0
1544,30.86072,538,30.86,0
1545,30.88072,544,30.88,0
1546,30.90072,557,30.9,0
1547,30.92072,590,30.92,0
1548,30.94072,594,30.94,0
1549,30.96072,552,30.96,0
1550,30.98072,583,30.98,0
1551,31.00072,578,31,0
1552,31.02072,565,31.02,0
1553,31.04072,549,31.04,0
1554,31.06072,563,31.06,0
1555,31.08072,566,31.08,0
1556,31.10072,568,31.1,0
1557,31.12072,557,31.12,0
1558,31.14072,548,31.14,0
1559,31.16072,508,31.16,0
1560,31.18072,495,31.18,0
1561,31.20072,538,31.2,0
1562,31.22072,557,31.22,0
1563,31.24072,535,31.24,0
1564,31.26072,512,31.26,0
1565,31.28072,532,31.28,0
1566,31.30072,559,31.3,0
1567,31.32072,510,31.32,0
1568,31.34072,522,31.34,0
1569,31.36072,536,31.36,0
1570,31.38072,516,31.38,0
