"Name","Values"
"Reliable Elements","Al, Si, K, Ca, Ti, Mn, Fe, Ni, Zn, Rb, Sr, Y, Zr, Th"
"Violating Elements","P, Mg, S, V, Cr, Co, Cu, As, Nb, Mo, Pb, Ba, U,  "
